Length of every string: 512
# strings, ULLMap, BSTMap, TreeMap, HashMap
     5000,   0.09,   0.02,    0.02,    0,02
     6000,   0.13,   0.03,    0.02,    0,02
     7000,   0.20,   0.02,    0.03,    0,02
     8000,   0.30,   0.03,    0.02,    0,03
     9000,   0.39,   0.03,    0.02,    0,03
    10000,   0.52,   0.03,    0.03,    0,03
    12000,   0.83,   0.05,    0.03,    0,05
    14000,   1.71,   0.05,    0.05,    0,05
    16000,   2.07,   0.06,    0.05,    0,05
    20000,   4.80,   0.08,    0.08,    0,06
    24000,   6.30,   0.09,    0.09,    0,08
    28000,  10.59,   0.11,    0.13,    0,08
    30000,  12.38,   0.13,    0.13,    0,09
